_ConceptURI;_ConceptType;_ConceptPT;_ConceptPT (@REF_LN);_Definition
http://ec.europa.eu/esco/skill/21552;SK;16 mm film;16 mm film [@en];
http://ec.europa.eu/esco/skill/21553;SK;35 mm film;35 mm film [@en];
http://ec.europa.eu/esco/skill/22262;SK;3D modelling;3D modelling [@en];
http://ec.europa.eu/esco/skill/17062;SK;4-thread overlock sewing machine;4-thread overlock sewing machine [@en];
http://ec.europa.eu/esco/skill/20745;SK;7QC (The Seven Quality Control Tools);7QC (The Seven Quality Control Tools) [@en];
http://ec.europa.eu/esco/skill/20749;SK;7QM (The Seven Quality Management Tools);7QM (The Seven Quality Management Tools) [@en];
http://ec.europa.eu/esco/skill/20265;SK;A-13 (method for window renovation);A-13 (method for window renovation) [@en];
http://ec.europa.eu/esco/skill/22426;SK;ABC medical protocol;ABC medical protocol [@en];
http://ec.europa.eu/esco/skill/19720;SK;ABC protection studies;ABC protection studies [@en];
http://ec.europa.eu/esco/skill/19836;SK;Absorption spectrophotometry (IR);Absorption spectrophotometry (IR) [@en];
http://ec.europa.eu/esco/skill/19851;SK;Absorption spectrophotometry (UV-visible);Absorption spectrophotometry (UV-visible) [@en];
http://ec.europa.eu/esco/skill/15034;SK;A cappella singing;A cappella singing [@en];
http://ec.europa.eu/esco/skill/23087;SK;Acceptance of orders;Acceptance of orders [@en];
http://ec.europa.eu/esco/skill/371827;SK;Accept constructive criticism;Accept constructive criticism [@en];
http://ec.europa.eu/esco/skill/18035;SK;Access control systems;Access control systems [@en];
http://ec.europa.eu/esco/skill/18025;SK;Access control systems (installation);Access control systems (installation) [@en];
http://ec.europa.eu/esco/skill/17660;SK;Access nets (installation and maintenance);Access nets (installation and maintenance) [@en];
http://ec.europa.eu/esco/skill/23259;SK;Accommodation agency;Accommodation agency [@en];
http://ec.europa.eu/esco/skill/17559;SK;Accompaniment;Accompaniment [@en];
http://ec.europa.eu/esco/skill/17247;SK;Accordion (teaching);Accordion (teaching) [@en];
http://ec.europa.eu/esco/skill/14807;SK;Accordion playing;Accordion playing [@en];
http://ec.europa.eu/esco/skill/19540;SK;Accordions (repairing);Accordions (repairing) [@en];
http://ec.europa.eu/esco/skill/18516;SK;Accordion tuning;Accordion tuning [@en];
http://ec.europa.eu/esco/skill/23442;SK;Account coding;Account coding [@en];
http://ec.europa.eu/esco/skill/21420;SK;Accounting / auditing;Accounting / auditing [@en];
http://ec.europa.eu/esco/skill/18596;SK;Accounting (adult education);Accounting (adult education) [@en];
http://ec.europa.eu/esco/skill/21444;SK;Accounting responsibility;Accounting responsibility [@en];
http://ec.europa.eu/esco/skill/15295;SK;Accumulator management;Accumulator management [@en];
http://ec.europa.eu/esco/skill/20648;SK;A-check (flight maintenance);A-check (flight maintenance) [@en];
http://ec.europa.eu/esco/skill/23621;SK;Acoustical performance;Acoustical performance [@en];
http://ec.europa.eu/esco/skill/23005;SK;Acoustic insulation;Acoustic insulation [@en];
http://ec.europa.eu/esco/skill/20727;SK;Acrylic plastic (fitting);Acrylic plastic (fitting) [@en];
http://ec.europa.eu/esco/skill/20444;SK;Acrylics (dentistry);Acrylics (dentistry) [@en];
http://ec.europa.eu/esco/skill/22168;SK;ACT!;ACT! [@en];
http://ec.europa.eu/esco/skill/21712;SK;Acting;Acting [@en];
http://ec.europa.eu/esco/skill/15387;SK;ActionScript;ActionScript [@en];
http://ec.europa.eu/esco/skill/14363;SK;Active Server Pages (ASP);Active Server Pages (ASP) [@en];
http://ec.europa.eu/esco/skill/22380;SK;Active X;Active X [@en];
http://ec.europa.eu/esco/skill/17663;SK;Activities of daily living (providing training to patients);Activities of daily living (providing training to patients) [@en];
http://ec.europa.eu/esco/skill/17111;SK;Actuarial mathematics;Actuarial mathematics [@en];
http://ec.europa.eu/esco/skill/22968;SK;Actuarial science;Actuarial science [@en];
http://ec.europa.eu/esco/skill/22539;SK;Actuate e.Report;Actuate e.Report [@en];
http://ec.europa.eu/esco/skill/22973;SK;Acupuncture;Acupuncture [@en];
http://ec.europa.eu/esco/skill/17566;SK;Ada (programming language);Ada (programming language) [@en];
http://ec.europa.eu/esco/skill/23793;SK;Adaptable DAta BAse System (ADABAS);Adaptable DAta BAse System (ADABAS) [@en];
http://ec.europa.eu/esco/skill/370702;SK;Adapt implementation strategy;Adapt implementation strategy [@en];
http://ec.europa.eu/esco/skill/370364;SK;Adapt to changes;Adapt to changes [@en];
http://ec.europa.eu/esco/skill/19555;SK;Addiction problems (knowledge);Addiction problems (knowledge) [@en];
http://ec.europa.eu/esco/skill/17361;SK;Administering nitrous oxide;Administering nitrous oxide [@en];
http://ec.europa.eu/esco/skill/22303;SK;Administration (teaching);Administration (teaching) [@en];
http://ec.europa.eu/esco/skill/15150;SK;Administration in bankruptcy;Administration in bankruptcy [@en];
http://ec.europa.eu/esco/skill/21586;SK;Administration of wages;Administration of wages [@en];
http://ec.europa.eu/esco/skill/16993;SK;Administrative law;Administrative law [@en];
http://ec.europa.eu/esco/skill/22044;SK;Administrative law (teaching);Administrative law (teaching) [@en];
http://ec.europa.eu/esco/skill/14700;SK;Adobe After Effects (video editing);Adobe After Effects (video editing) [@en];
http://ec.europa.eu/esco/skill/21634;SK;Adobe Audition;Adobe Audition [@en];
http://ec.europa.eu/esco/skill/22656;SK;Adobe Authorware;Adobe Authorware [@en];
http://ec.europa.eu/esco/skill/15632;SK;Adobe Bridge;Adobe Bridge [@en];
http://ec.europa.eu/esco/skill/22351;SK;Adobe ColdFusion;Adobe ColdFusion [@en];
http://ec.europa.eu/esco/skill/22046;SK;Adobe Contribute;Adobe Contribute [@en];
http://ec.europa.eu/esco/skill/21961;SK;Adobe Flash Builder;Adobe Flash Builder [@en];
http://ec.europa.eu/esco/skill/19024;SK;Adobe FrameMaker;Adobe FrameMaker [@en];
http://ec.europa.eu/esco/skill/19422;SK;Adobe Freehand;Adobe Freehand [@en];
http://ec.europa.eu/esco/skill/16520;SK;Adobe ImageReady;Adobe ImageReady [@en];
http://ec.europa.eu/esco/skill/22212;SK;Adobe PageMaker;Adobe PageMaker [@en];
http://ec.europa.eu/esco/skill/16498;SK;Adobe PageMill;Adobe PageMill [@en];
http://ec.europa.eu/esco/skill/19756;SK;Adobe Photoshop;Adobe Photoshop [@en];
http://ec.europa.eu/esco/skill/19728;SK;Adobe Premiere Pro;Adobe Premiere Pro [@en];
http://ec.europa.eu/esco/skill/17132;SK;Adolescent psychology;Adolescent psychology [@en];
http://ec.europa.eu/esco/skill/23505;SK;Adoption permission;Adoption permission [@en];
http://ec.europa.eu/esco/skill/21469;SK;ADR (explosives);ADR (explosives) [@en];
http://ec.europa.eu/esco/skill/15437;SK;ADR (radioactive goods);ADR (radioactive goods) [@en];
http://ec.europa.eu/esco/skill/20557;SK;ADR (tank transport);ADR (tank transport) [@en];
http://ec.europa.eu/esco/skill/20713;SK;ADR inspection;ADR inspection [@en];
http://ec.europa.eu/esco/skill/15172;SK;Adult education (teaching);Adult education (teaching) [@en];
http://ec.europa.eu/esco/skill/14655;SK;Adult education guidance;Adult education guidance [@en];
http://ec.europa.eu/esco/skill/21919;SK;Adult pedagogy (teaching);Adult pedagogy (teaching) [@en];
http://ec.europa.eu/esco/skill/18145;SK;Adult psychiatry care;Adult psychiatry care [@en];
http://ec.europa.eu/esco/skill/17355;SK;Adult rehabilitation;Adult rehabilitation [@en];
http://ec.europa.eu/esco/skill/23422;SK;Advanced Business Application Programming (ABAP);Advanced Business Application Programming (ABAP) [@en];
http://ec.europa.eu/esco/skill/17908;SK;Advertisement booking;Advertisement booking [@en];
http://ec.europa.eu/esco/skill/16368;SK;Advertisement production (design);Advertisement production (design) [@en];
http://ec.europa.eu/esco/skill/16375;SK;Advertisement production (wording);Advertisement production (wording) [@en];
http://ec.europa.eu/esco/skill/19376;SK;Advertisement reception;Advertisement reception [@en];
http://ec.europa.eu/esco/skill/16185;SK;Advertising drawing;Advertising drawing [@en];
http://ec.europa.eu/esco/skill/23102;SK;Advertising photography modelling;Advertising photography modelling [@en];
http://ec.europa.eu/esco/skill/21547;SK;Advertising services;Advertising services [@en];
http://ec.europa.eu/esco/skill/18937;SK;Aerial photography;Aerial photography [@en];
http://ec.europa.eu/esco/skill/23220;SK;Aerobatics;Aerobatics [@en];
http://ec.europa.eu/esco/skill/16826;SK;Aerobics (training/coaching);Aerobics (training/coaching) [@en];
http://ec.europa.eu/esco/skill/18799;SK;Aesthetics;Aesthetics [@en];
http://ec.europa.eu/esco/skill/20825;SK;Aesthetics/art and design (teaching);Aesthetics/art and design (teaching) [@en];
http://ec.europa.eu/esco/skill/20860;SK;Aesthetics/dancing and theatre (teaching);Aesthetics/dancing and theatre (teaching) [@en];
http://ec.europa.eu/esco/skill/20830;SK;Aesthetics/music (teaching);Aesthetics/music (teaching) [@en];
http://ec.europa.eu/esco/skill/20856;SK;Aesthetics (teaching);Aesthetics (teaching) [@en];
http://ec.europa.eu/esco/skill/22995;SK;African archaeology;African archaeology [@en];
http://ec.europa.eu/esco/skill/17801;SK;African dancing;African dancing [@en];
http://ec.europa.eu/esco/skill/15061;SK;African dancing (teaching);African dancing (teaching) [@en];
http://ec.europa.eu/esco/skill/17776;SK;Afro-American music (teaching);Afro-American music (teaching) [@en];
http://ec.europa.eu/esco/skill/21490;SK;Agilent VEE;Agilent VEE [@en];
http://ec.europa.eu/esco/skill/17296;SG;Agility;Agility [@en];
http://ec.europa.eu/esco/skill/17629;SK;Agricultural animals (veterinary medicine);Agricultural animals (veterinary medicine) [@en];
http://ec.europa.eu/esco/skill/19381;SK;Agricultural economics;Agricultural economics [@en];
http://ec.europa.eu/esco/skill/18246;SK;Agricultural science;Agricultural science [@en];
http://ec.europa.eu/esco/skill/18252;SK;Agriculture;Agriculture [@en];
http://ec.europa.eu/esco/skill/21151;SG;Agriculture, forestry and fishery;Agriculture, forestry and fishery [@en];
http://ec.europa.eu/esco/skill/15677;SK;Aids services for persons with special needs (functional impairment);Aids services for persons with special needs (functional impairment) [@en];
http://ec.europa.eu/esco/skill/21187;SK;Air compressor (maintenance);Air compressor (maintenance) [@en];
http://ec.europa.eu/esco/skill/16765;SK;Air conditioning system (maintenance);Air conditioning system (maintenance) [@en];
http://ec.europa.eu/esco/skill/16773;SK;Aircraft assembly;Aircraft assembly [@en];
http://ec.europa.eu/esco/skill/19920;SK;Aircraft cleaning;Aircraft cleaning [@en];
http://ec.europa.eu/esco/skill/14317;SK;Aircraft electronics;Aircraft electronics [@en];
http://ec.europa.eu/esco/skill/14414;SK;Aircraft engineering;Aircraft engineering [@en];
http://ec.europa.eu/esco/skill/15395;SK;Aircraft loading;Aircraft loading [@en];
http://ec.europa.eu/esco/skill/17006;SK;Aircraft sheet-metal plating;Aircraft sheet-metal plating [@en];
http://ec.europa.eu/esco/skill/16816;SK;Aircraft technology;Aircraft technology [@en];
http://ec.europa.eu/esco/skill/23156;SK;Aircraft technology (teaching);Aircraft technology (teaching) [@en];
http://ec.europa.eu/esco/skill/18614;SK;Air decontamination;Air decontamination [@en];
http://ec.europa.eu/esco/skill/19758;SK;Air force conscript (providing training);Air force conscript (providing training) [@en];
http://ec.europa.eu/esco/skill/16866;SK;Air freight;Air freight [@en];
http://ec.europa.eu/esco/skill/17332;SK;Air law;Air law [@en];
http://ec.europa.eu/esco/skill/16276;SK;Airport management;Airport management [@en];
http://ec.europa.eu/esco/skill/16875;SK;Airport supervising (teaching);Airport supervising (teaching) [@en];
http://ec.europa.eu/esco/skill/23194;SK;Air treatment;Air treatment [@en];
http://ec.europa.eu/esco/skill/17599;SK;À la carte cooking;À la carte cooking [@en];
http://ec.europa.eu/esco/skill/17630;SK;Alarm and safety products;Alarm and safety products [@en];
http://ec.europa.eu/esco/skill/18346;SK;Alarm installation;Alarm installation [@en];
http://ec.europa.eu/esco/skill/18525;SK;Alarm operation;Alarm operation [@en];
http://ec.europa.eu/esco/skill/22263;SK;Alias PowerAnimator;Alias PowerAnimator [@en];
http://ec.europa.eu/esco/skill/15932;SK;Allergic diseases;Allergic diseases [@en];
http://ec.europa.eu/esco/skill/14953;SK;Allotment gardening;Allotment gardening [@en];
http://ec.europa.eu/esco/skill/17288;SK;Alloy technology;Alloy technology [@en];
http://ec.europa.eu/esco/skill/22849;SK;All-round (construction);All-round (construction) [@en];
